"Date","Price","Open","High","Low","Vol.","Change %"
"10/01/2021","772.75","725.00","780.00","712.75","995.02K","6.48%"
"09/01/2021","725.75","723.62","733.10","678.50","","0.24%"
"08/01/2021","724.00","705.25","774.62","704.25","","2.91%"
"07/01/2021","703.50","678.62","717.90","609.60","","3.42%"
"06/01/2021","680.25","673.62","704.00","632.62","","2.43%"
"05/01/2021","664.12","733.25","767.00","639.75","","-9.68%"
"04/01/2021","735.30","622.00","769.40","601.38","","18.84%"
"03/01/2021","618.75","662.12","668.62","593.38","","-6.27%"
"02/01/2021","660.12","657.00","688.38","625.75","","-0.38%"
"01/01/2021","662.62","641.75","693.12","625.75","","3.25%"
"12/01/2020","641.75","579.38","644.38","563.50","","10.46%"
"11/01/2020","581.00","596.75","625.88","579.50","","-2.92%"
"10/01/2020","598.50","575.12","637.62","561.38","","3.53%"
"09/01/2020","578.12","541.88","586.62","533.38","","5.79%"
"08/01/2020","546.50","526.12","551.75","488.12","","2.92%"
"07/01/2020","531.00","490.50","551.62","477.50","","8.20%"
"06/01/2020","490.75","520.25","528.62","468.25","","-5.92%"
"05/01/2020","521.62","522.38","527.75","493.88","","-0.36%"
"04/01/2020","523.50","567.25","571.75","506.88","","-7.79%"
"03/01/2020","567.75","525.25","586.88","492.12","","8.09%"
"02/01/2020","525.25","551.12","570.38","512.62","","-5.08%"
"01/01/2020","553.38","559.50","592.38","545.38","","-1.07%"
"12/01/2019","559.38","542.38","564.62","516.38","","3.18%"
"11/01/2019","542.12","508.50","545.88","498.62","","6.56%"
"10/01/2019","508.75","496.25","534.88","485.38","","2.67%"
"09/01/2019","495.50","461.88","500.88","450.62","","7.40%"
"08/01/2019","461.38","487.00","505.38","456.25","","-5.16%"
"07/01/2019","486.50","530.62","531.38","483.38","","-7.51%"
"06/01/2019","526.00","507.00","557.12","488.12","","4.18%"
"05/01/2019","504.88","427.88","521.62","418.62","","17.69%"
"04/01/2019","429.00","459.12","477.38","426.12","","-6.43%"
"03/01/2019","458.50","458.75","477.88","427.12","","-0.05%"
"02/01/2019","458.75","516.50","531.12","458.12","","-11.18%"
"01/01/2019","516.50","503.12","528.88","501.38","","2.68%"
"12/01/2018","503.00","527.75","538.50","503.00","","-2.42%"
"11/01/2018","515.50","500.75","520.75","495.50","","2.84%"
"10/01/2018","501.25","509.75","527.25","485.50","","-1.81%"
"09/01/2018","510.50","537.75","542.50","495.25","","-6.59%"
"08/01/2018","546.50","554.50","593.00","513.00","","-1.44%"
"07/01/2018","554.50","501.75","565.00","471.25","","10.46%"
"06/01/2018","502.00","524.50","538.75","467.50","","-4.34%"
"05/01/2018","524.75","513.00","554.00","486.25","","2.64%"
"04/01/2018","511.25","454.00","513.00","445.75","","13.17%"
"03/01/2018","451.75","495.50","518.50","441.50","","-8.27%"
"02/01/2018","492.50","451.50","499.50","438.75","","9.08%"
"01/01/2018","451.50","429.50","458.75","413.25","","5.61%"
"12/01/2017","427.50","432.50","442.75","411.00","","-1.58%"
"11/01/2017","434.38","418.75","439.00","409.12","","3.79%"
"10/01/2017","418.50","445.00","450.50","416.50","","-6.64%"
"09/01/2017","448.25","434.75","462.75","428.50","","2.93%"
"08/01/2017","435.50","472.25","478.00","400.75","","-8.17%"
"07/01/2017","474.25","539.62","574.25","472.00","","-9.80%"
"06/01/2017","525.75","429.38","525.75","421.62","","22.41%"
"05/01/2017","429.50","441.50","461.50","420.50","","-0.72%"
"04/01/2017","432.62","430.50","436.50","400.25","","1.61%"
"03/01/2017","425.75","443.00","462.50","417.00","","-4.06%"
"02/01/2017","443.75","421.25","464.25","417.25","","5.40%"
"01/01/2017","421.00","408.38","437.62","405.00","","3.25%"
"12/01/2016","407.75","403.75","420.75","392.75","","1.18%"
"11/01/2016","403.00","416.00","421.25","392.75","","-2.95%"
"10/01/2016","415.25","400.50","428.25","391.75","","3.36%"
"09/01/2016","401.75","391.50","411.75","389.75","","3.68%"
"08/01/2016","387.50","407.75","432.50","381.25","","-4.85%"
"07/01/2016","407.25","445.38","451.50","403.75","","-9.10%"
"06/01/2016","448.00","463.38","523.88","438.00","","-3.40%"
"05/01/2016","463.75","486.75","492.75","455.00","","-5.21%"
"04/01/2016","489.25","473.75","510.75","446.25","","3.11%"
"03/01/2016","474.50","453.38","479.38","442.38","","4.77%"
"02/01/2016","452.88","476.25","483.00","446.62","","-5.53%"
"01/01/2016","479.38","472.50","488.50","456.13","","2.13%"
"12/01/2015","469.38","474.63","498.88","465.63","","-1.31%"
"11/01/2015","475.63","521.38","530.75","475.13","","-8.91%"
"10/01/2015","522.13","512.38","531.50","483.63","","1.93%"
"09/01/2015","512.25","484.13","515.50","463.13","","5.54%"
"08/01/2015","485.38","497.13","529.88","476.13","","-2.56%"
"07/01/2015","498.13","614.25","615.00","493.88","","-19.22%"
"06/01/2015","616.63","478.00","617.13","474.13","","29.03%"
"05/01/2015","477.88","476.13","529.88","461.13","","0.53%"
"04/01/2015","475.38","513.38","544.13","464.13","","-7.31%"
"03/01/2015","512.88","513.75","540.38","479.38","","0.17%"
"02/01/2015","512.00","502.25","546.63","490.13","","1.74%"
"01/01/2015","503.25","589.38","603.50","497.38","","-14.69%"
"12/01/2014","589.88","576.88","676.88","570.38","","1.99%"
"11/01/2014","578.38","535.63","580.63","511.38","","8.87%"
"10/01/2014","531.25","477.63","545.25","469.63","","11.00%"
"09/01/2014","478.63","561.88","565.88","466.38","","-15.04%"
"08/01/2014","563.38","531.25","578.63","527.38","","6.22%"
"07/01/2014","530.38","578.63","584.25","518.63","","-8.04%"
"06/01/2014","576.75","625.75","626.13","568.75","","-8.18%"
"05/01/2014","628.13","723.25","743.88","625.63","","-12.94%"
"04/01/2014","721.50","695.88","724.63","656.38","","3.50%"
"03/01/2014","697.13","623.63","722.88","615.00","","16.11%"
"02/01/2014","600.38","554.88","620.75","554.13","","8.18%"
"01/01/2014","555.00","605.13","612.38","550.38","","-8.28%"
"12/01/2013","605.13","668.88","674.63","599.38","","-9.45%"
"11/01/2013","668.25","667.75","672.13","642.38","","0.13%"
"10/01/2013","667.38","678.13","711.13","667.13","","-1.73%"
"09/01/2013","679.13","663.00","694.00","637.13","","3.70%"
"08/01/2013","654.88","663.38","676.38","623.13","","-1.32%"
"07/01/2013","663.63","655.50","692.88","648.13","","1.03%"
"06/01/2013","656.88","707.75","714.38","656.13","","-7.04%"
"05/01/2013","706.63","731.50","734.88","674.13","","-3.24%"
"04/01/2013","730.25","684.88","736.63","660.25","","6.68%"
"03/01/2013","684.50","716.50","741.38","681.25","","-4.45%"
"02/01/2013","716.38","781.50","789.88","698.13","","-8.35%"
"01/01/2013","781.63","786.88","799.63","736.38","","0.40%"
"12/01/2012","778.50","863.50","877.13","764.63","","-9.84%"
"11/01/2012","863.50","867.38","911.63","829.63","","-0.39%"
"10/01/2012","866.88","895.50","901.00","841.63","","-3.21%"
"09/01/2012","895.63","892.00","930.63","849.38","","0.79%"
"08/01/2012","888.63","893.25","930.88","838.75","","-0.45%"
"07/01/2012","892.63","758.88","944.50","756.38","","17.62%"
"06/01/2012","758.88","646.88","763.38","641.00","","17.54%"
"05/01/2012","645.63","652.50","721.38","592.38","","-1.07%"
"04/01/2012","652.63","662.88","665.63","604.25","","-0.95%"
"03/01/2012","658.88","666.63","677.50","611.50","","-1.35%"
"02/01/2012","667.88","666.75","683.25","621.13","","0.19%"
"01/01/2012","666.63","653.13","670.50","590.13","","2.07%"
"12/01/2011","653.13","615.00","655.75","577.25","","6.22%"
"11/01/2011","614.88","629.63","659.13","572.50","","-2.28%"
"10/01/2011","629.25","609.13","665.13","596.88","","3.84%"
"09/01/2011","606.00","787.88","789.13","605.38","","-23.11%"
"08/01/2011","788.13","674.50","805.63","642.50","","16.78%"
"07/01/2011","674.88","600.50","727.50","592.88","","12.41%"
"06/01/2011","600.38","787.13","787.63","596.00","","-23.73%"
"05/01/2011","787.13","801.38","834.38","723.25","","-2.11%"
"04/01/2011","804.13","759.75","864.75","730.25","","5.93%"
"03/01/2011","759.13","819.25","836.88","656.50","","-7.01%"
"02/01/2011","816.38","843.50","892.38","757.63","","-2.65%"
"01/01/2011","838.63","793.13","863.38","758.63","","5.80%"
"12/01/2010","792.63","692.63","808.25","691.13","","14.94%"
"11/01/2010","689.63","727.13","760.38","619.38","","-5.19%"
"10/01/2010","727.38","674.88","738.00","643.75","","7.58%"
"09/01/2010","676.13","689.38","756.75","651.13","","-1.92%"
"08/01/2010","689.38","660.75","840.88","645.00","","4.23%"
"07/01/2010","661.38","479.38","662.63","475.38","","38.00%"
"06/01/2010","479.25","458.25","486.63","425.63","","4.55%"
"05/01/2010","458.38","502.00","516.88","456.38","","-9.26%"
"04/01/2010","505.13","450.88","514.63","447.13","","12.16%"
"03/01/2010","450.38","519.63","519.63","450.38","","-13.24%"
"02/01/2010","519.13","475.00","519.88","466.63","","9.72%"
"01/01/2010","473.13","540.75","574.50","473.13","","-12.57%"
"12/01/2009","541.13","586.50","597.88","514.38","","-7.74%"
"11/01/2009","586.50","493.63","600.38","493.63","","18.66%"
"10/01/2009","494.25","452.00","496.50","439.25","295.08K","8.03%"
"09/01/2009","457.50","471.00","481.50","425.25","459.88K","-2.87%"
"08/01/2009","471.00","531.75","557.50","453.25","752.51K","-10.84%"
"07/01/2009","528.25","517.00","553.75","483.50","470.29K","3.33%"
"06/01/2009","511.25","636.75","677.00","495.75","1.12M","-19.77%"
"05/01/2009","637.25","524.75","646.25","524.50","438.46K","21.55%"
"04/01/2009","524.25","527.75","572.75","500.75","749.31K","-1.60%"
"03/01/2009","532.75","508.00","563.00","488.25","448.18K","4.36%"
"02/01/2009","510.50","568.00","577.00","504.50","706.28K","-10.12%"
"01/01/2009","568.00","606.25","646.25","548.25","656.02K","-7.00%"
"12/01/2008","610.75","541.75","616.00","455.00","326.22K","12.58%"
"11/01/2008","542.50","538.75","587.75","496.00","827.28K","1.17%"
"10/01/2008","536.25","683.25","690.25","496.50","807.11K","-21.14%"
"09/01/2008","680.00","770.00","770.00","662.50","531.82K","-12.74%"
"08/01/2008","779.25","784.50","932.25","746.00","864.44K","-0.57%"
"07/01/2008","783.75","843.00","877.50","775.00","476.86K","-7.08%"
"06/01/2008","843.50","759.50","952.75","745.75","1.08M","10.77%"
"05/01/2008","761.50","778.50","825.00","730.75","379.08K","125.30%"
"06/01/2004","338.00","374.50","375.00","328.00","262.90K","16.96%"
"12/01/2001","289.00","283.75","294.50","268.50","135.80K","6.74%"
"09/01/2001","270.75","277.00","277.00","260.50","191.65K","-1.81%"
"09/01/1999","275.75","266.50","290.00","255.00","163.93K","9.32%"
